x,est,lb,ub
0,0,0,0
1,0.19975655870023037,0.13433586086484856,0.27498536591203493
2,0.3745479436741299,0.2512945797730419,0.5170766841859904
3,0.5250838847136909,0.35150612080391763,0.7266457258594812
4,0.6524012055395645,0.4355628525187796,0.9074608871760921
5,0.7579381771359142,0.5038169364514656,1.0574864846712448
6,0.8403278208031455,0.5565233808911014,1.1734587528972589
7,0.9028318970337693,0.592995716595231,1.264161589504448
8,0.9420022654797107,0.6102544565297513,1.3265748954925005
9,0.960409563397204,0.611577311554789,1.364895983689625
10,0.9631246636992157,0.5983247463960821,1.377707552484762
11,0.9498692823592452,0.5783614232751573,1.370221527906063
12,0.9168618664398,0.5460086442069371,1.338788043409228
13,0.8681094138599114,0.49761378136823914,1.3044362315363691
14,0.8027971237515401,0.43647797616729345,1.2310926189220068
15,0.7245278788585524,0.3409605916886816,1.1333785475635945
16,0.6231415747716527,0.23889468774614075,1.0324438200503534
17,0.5106264914393192,0.1207152949921939,0.9216132579734527
18,0.3876341448464885,-0.004907654917946307,0.7948295228312849
19,0.24975872292877027,-0.14377373575998909,0.6471719649928833
20,0.0977369841755922,-0.30754858439532784,0.4923334122882711
21,-0.06560969025407357,-0.4868426234686583,0.3503419080917436
22,-0.24026476627312565,-0.6786293434442104,0.20801287114550165
23,-0.42950436971712247,-0.8945301933469004,0.03942673404300538
24,-0.61671043165801,-1.1279604191978783,-0.1390625770613117
25,-0.8232956187177214,-1.38374900469081,-0.310318903980492
26,-1.0365176253067756,-1.646025698882826,-0.4978133675320216
27,-1.260208052678981,-1.9203430726287112,-0.6836724304532144
28,-1.4892435365261125,-2.1972030570748062,-0.8803698812088425
29,-1.7304948702808347,-2.4819934628015328,-1.083692507737902
30,-1.9698326321470767,-2.762547266557876,-1.2777519875721994
31,-2.2176108673328168,-3.069072457699985,-1.4830070509350408
32,-2.4697938662376764,-3.3847949348331166,-1.6903005326504088
33,-2.734142720813723,-3.7067334095592415,-1.8946057873473494
34,-3.005400549123821,-4.039999246871743,-2.1141712218450595
35,-3.267843697297483,-4.376446985149177,-2.3333228631015057
36,-3.5404667205748734,-4.710526686985649,-2.5468808530945837
37,-3.819617802731129,-5.0285175560114,-2.7553197450953193
38,-4.094922461210102,-5.363475173547899,-2.980823261884183
39,-4.377806991577894,-5.699808833129322,-3.205311524865634
40,-4.656134218087433,-6.036734082837281,-3.4396883911644407
