bin,coef,se,lb,ub,category
1,-1.0836194080244717,1.017178253856148,-2.7567287481359224,0.589489932086978,searches
2,4.675058562745723,2.1714944757851766,1.1032679983453884,8.246849127146055,searches
3,13.61782584210613,4.073757857881247,6.9170904542481,20.318561229964157,searches
4,22.3182375026633,6.798149593279623,11.136276487598634,33.50019851772796,searches
5,28.738115086796917,12.818026754186976,7.654337289811458,49.82189288378236,searches
1,0.0014037013817750528,42.98879564588215,-3.9989887033643985e-5,0.002847392650583749,traffic
2,-0.0018393896962994201,77.78054822666749,-0.004451491214168992,7.727118215701519e-4,traffic
3,0.0018376284852613578,136.07945995236236,-0.0027323234114079455,0.00640758038193066,traffic
4,-0.03959256349156023,281.43664448331043,-0.049044040795328155,-0.0301410861877923,traffic
5,-0.053984724734060664,602.1123606539944,-0.07420544375765188,-0.03376400571046944,traffic
1,0.0018370037426179702,0.0023737909075854406,-0.0020675348413483697,0.005741542326584308,park-visits
2,-0.002414757520205088,0.004192628161531625,-0.009311017158159266,0.004481502117749087,park-visits
3,-0.0023648211703280334,0.0031977678704947624,-0.00762468125026023,0.00289503890960416,park-visits
4,-0.007773831578654016,0.009519162350339073,-0.023431460296149145,0.007883797138841103,park-visits
5,-0.027093781443083057,0.005952704273229855,-0.036885108657074714,-0.017302454229091407,park-visits
